situation,advice,why,source,category
Walking alone at night,Stay on well-lit main roads where possible. Avoid shortcuts through alleys or parks.,Well-lit and busier routes reduce opportunity for crime and increase the chance of bystander intervention.,UK Home Office – Personal Safety Advice,route_safety
Feeling followed,Cross the road or change direction. Head toward a busy shop or public place. Call 999 if the threat feels real.,Changing your path tests whether someone is genuinely following. Moving toward people makes you a harder target.,Suzy Lamplugh Trust – Personal Safety Tips,threat_response
Phone battery is low,Tell a trusted contact your location before your phone dies. Note landmarks around you.,Sharing your location means someone knows where to start looking if you lose contact.,National Crime Prevention Council,preparedness
Waiting for transport alone,Stand in a well-lit area near other people. Keep your belongings close and stay alert.,Attackers look for isolated distracted targets. Visibility and awareness deter approach.,Metropolitan Police – Travel Safety,transport_safety
Using a ride-share,Share your trip details with a trusted contact. Check the driver's name and number plate before getting in.,Ride-share impersonation is a known risk. Verifying the vehicle prevents getting into the wrong car.,TfL – Ride Safety Guidelines,transport_safety
Walking with headphones,Keep the volume low enough to hear your surroundings or use only one earbud.,Full noise isolation removes your ability to detect approaching footsteps or vehicles.,Suzy Lamplugh Trust – Personal Safety Tips,awareness
Arriving home after dark,Have your keys ready before reaching your door. Check your surroundings before stopping.,Fumbling for keys while stationary makes you vulnerable. Being prepared minimises the time you are a still target.,UK Police – Home Security Advice,home_safety
Entering a car park,Park near exits and in well-lit bays. Scan the area as you approach your vehicle.,Car parks with poor lighting are common locations for theft and assault. Proximity to exits means a quicker escape if needed.,Secured by Design – Car Park Safety,transport_safety
Crossing an unfamiliar area,Trust your instincts. If something feels wrong turn around or take a different route.,Research shows that gut feelings about danger are often accurate subconscious threat assessments.,Gavin de Becker – The Gift of Fear (safety principle),awareness
Someone is making you uncomfortable,Move away calmly and find other people. You do not owe politeness to someone who makes you feel unsafe.,Social pressure to be polite is the number one tool used by predatory individuals to maintain access.,Suzy Lamplugh Trust – Assertiveness & Safety,threat_response
Phone snatching risk area,Keep your phone in an inside pocket or hold it firmly with both hands. Avoid using it while standing still on a kerb.,Phone snatching on foot and by moped is most common when victims are distracted at the roadside.,Metropolitan Police – Phone Theft Prevention,awareness
Running or jogging alone,Tell someone your route and expected return time. Vary your routine so it is not predictable.,Predictable patterns make it easier for someone with bad intent to plan an encounter.,UKActive – Safe Running Guidelines,exercise_safety
